school,学校
brass band,ブラスバンド、吹奏楽部
yes,はい、そうです
Mr.,〔男性の姓・姓名の前で〕~さん、~先生
here's,here is の短縮形
no,いいえ、いや
K-pop,韓国のポピュラー音楽
anime,(日本の)アニメ
be interested in ~,~に興味をもっている
very much,とても
after,~の後に
new,新しい、新入りの
come,(やって)来る、(行き先へ)行く
come in,入る、入ってくる
interested,興味[関心]をもっている
of,〔限定〕~の
Here's ~.,ここに~がある。これ[ここ]が~だ。
Thank you.,ありがとう(ございます)。
fan,ファン
an,ある、1つ[人・匹など]の
little,〔a little で〕少しは、多少
practice,(~を)練習する
Monday,月曜日
Friday,金曜日
listen,聞く、耳を傾ける
read,(~を)読む
always,いつも、常に
sometimes,ときどき
free,手が空いている、暇な
listen to ~,~を聞く
instrument,楽器
usually,普通は、いつもは
on,〔日・時〕~に
Wednesday,水曜日
a little,少しは、多少
radio,ラジオ
magazine,雑誌
often,よく、たびたび、しばしば
never,決して~しない
night,夜
drama,演劇
tongue twister,早口言葉
repeat,繰り返して言う
what's,what is の短縮形
it's,it is の短縮形
write,(~を)書く
unicycle,一輪車
rice,米、ごはん、ライス
with,~といっしょに
that's,that is の短縮形
team,チーム
Australia,オーストラリア
oh,ああ、まあ
say,(~を)言う、(~と)述べる
ride,~に乗る
curry,カレー
curry and rice,カレーライス
father,父親
break time,(授業の)休み時間
Repeat after me.,私の後について言ってください。
break,小休止、休憩
