cafeteria,カフェテリア〔セルフサービスの食堂〕
after school,放課後(に)
face,顔
now,今(では)、現在(では)
life,生活
begin,(~を)始める
shy,恥ずかしがりの、人見知りの
turn on ~,(明かりなど)をつける
between,~の間に[で・を・の]
video call,ビデオ通話
camera,カメラ
know,(~を)知る、わかっている
sure,〔返答として〕はい、もちろん
um,うーん、あのう
anything,何でも
Good to see you.,お会いできてうれしいです。
Sorry.,ごめんなさい。すみません。
Sure.,いいですよ。もちろん。
where,どこで[に、へ]
ethnic,民族の、民族的な
Lincoln High,リンカーン高校
lab,実験室〔= laboratory〕
lunch,昼食、ランチ
dish,料理、食べ物
be famous for ~,~で有名である
where's,where is の短縮形
nurse,看護師
office,仕事部屋、オフィス
entrance,入口、玄関
near,~の近くに
between ~ and ...,~と…の間に
next to ~,~の隣に[の]
Queens,クイーンズ〔ニューヨーク市東部の区〕
diversity,多様性
gate,門、出入り口
room,部屋、~室
choose,~を選ぶ
pizza,ピザ
nurse's office,保健室
stair,〔~sで〕階段
next,(場所が)隣の
cooking,料理(用の)
some,〔ふつう肯定文で〕いくらかの、多少の
tennis,テニス
photo,写真
wheelchair,車いす
luck,幸運、つき
when's,when is の短縮形
video game,テレビゲーム
diary,日記
afternoon,午後
before,~の前に
dinner,夕食、ディナー
write in one's diary,日記をつける
take a bath,風呂に入る
go to bed,寝る、就寝する
trophy,トロフィー
show,~を見せる
wow,〔喜び・驚きなどを表して〕わあ
match,試合
morning,朝、午前(中)
evening,夕方、夕暮れ、晩
bath,入浴
Good luck!,成功を祈ります。
about,~ぐらい、~頃、約~
