New Year,新年、正月
sunrise,日の出
bell,鐘
charm,お守り、飾り
bought,buy の過去形
eve,(祝祭日などの)前夜、前日
ring,~を鳴らす
TV,テレビ
clean,~をきれいにする、~を掃除する
saw,see の過去形
flew,fly の過去形
yesterday,昨日(は)
part,部分
take part in ~,~に参加する
did,do の過去形
calligraphy,習字、書道
kite,たこ
buy,~を買う
temple,寺、寺院
New Year's Eve,大みそか
rang,ring の過去形
didn't,did not の短縮形
house,家
ate,eat の過去形
shopping,買い物、ショッピング
took,take の過去形
volunteer,ボランティア
clean up ~,~を掃除する
Happy New Year.,新年おめでとう(ございます)。
How are you doing?,調子はどうですか。お元気ですか。
traditional,伝統的な
because,~だから、~なので
tell,(人)に話す、~を伝える
interesting,興味を引き起こす、おもしろい
poor,哀れな、かわいそうな
drink,~を飲む
New Year's Day,元日
~ what?,~って？~何？
custom,習慣、風習
sign,しるし、前兆
told,tell の過去形
bad,気の毒で
by the way,ところで
comedy,コメディー、喜劇
stay up,(寝ないで)起きている
I didn't know that.,それは知りませんでした。
That's too bad.,残念です。気の毒に。
Why ~? — Because ....,なぜ~なのですか。— …だからです。
show,(テレビ・ラジオなどの)番組
How ~!,なんて~だ。
Poor ~.,かわいそうな~。
lantern,ちょうちん
secret,秘密
still,まだ、なお、相変わらず
hear,~を聞く、~が聞こえる
lucky,運のよい、幸運な
have a fever,(高)熱がある
get well,元気になる
wish,願いごと、願い、望み
chat,(オンラインでの)チャット
fever,熱、発熱
drank,drink の過去形
soon,早く、すぐ
take a photo,写真を撮る
What a ~!,なんて~なんだ。
Lucky you!,ついてるね。運がいいね。
miss,~がいないのを寂しく思う
Sorry to hear that.,それはお気の毒です。
Get well soon.,早く元気になってね。
hope,~を望む、~を願う
were,are の過去形
atmosphere,雰囲気
east,東、東方
U.S.A.,〔theを付けて〕アメリカ合衆国
air mail,航空郵便
Thank you for ~.,~をありがとう(ございます)。
this year,今年
delicious,とてもおいしい
party,パーティー
marathon,マラソン
for the first time,初めて
present,贈り物、プレゼント
people,人々
Mrs.,〔既婚女性の姓・姓名の前で〕~さん、~先生
NY,ニューヨーク〔New York の略〕
wonderful,すばらしい、すてきな、見事な
had,have の過去形
bake,(パン・ケーキなど)を焼く
exciting,興奮させる、胸をわくわくさせる、刺激的な
Dear ~,~様、親愛なる~
love,〔親しい人への手紙などの結び〕
I hope ~.,~だとよいと思います。
