ready,準備ができた
everything,全てのこと[もの]、何もかも
kitchen,台所、キッチン
how's,how is の短縮形
we're,we are の短縮形
stand,立つ、立っている
That's right.,そのとおりです。
get ready,準備をする
album,アルバム
later,後で、のちほど
How's everything?,うまくいっていますか。調子はどうですか。
And you?,あなたはどうですか。
~ OK?,~で、いいですか。
See you later.,またね。さよなら。
guy,〔~sで〕みんな、君たち
decorate,~を飾る
put,~を置く、~を取り付ける
put up ~,~を取り付ける
far,遠くに、はるかに
pretty,かわいい
decoration,飾りつけ
message,メッセージ
So far so good.,今のところ順調だ。
surprise,びっくりさせること[もの]
have no idea,全然わからない
so much,とても、すごく、本当に
last,この前の、昨~、先~
program,番組
story,物語、筋、ストーリー
inside,内側に、内部に
then,そのとき、あのとき(は)
tonight,今夜(は)
last night,昨夜
We're home.,ただいま。
Surprise!,ほら、どうだ(驚いたでしょう)。
Happy Birthday.,誕生日おめでとう。
