gift,贈り物、土産物
Busan,プサン〔韓国の都市〕
half,半分の、2分の1の
Seoul,ソウル〔韓国の首都〕
for the first time in ~,~ぶりに
half a year,半年
read,read の過去形、過去分詞
roller coaster,ジェットコースター
view,眺め、風景、景色
same,同じ
met,meet の過去形、過去分詞
else,その他に
rode,ride の過去形
scary,怖い、恐ろしい
Long time no see.,久しぶりだね。
What else?,他には(何かありますか)。
tournament,トーナメント
other,別の、他の
honor,光栄なこと
come out of ~,~から外へ出る
look for ~,~をさがす
feel,(~と)感じる、~を感じる
feel down,落ち込む
coach,~のコーチをする
choice,選ばれた人[もの]
comic book,漫画本
There you are!,そこにいたのですね。
I know.,そうですよね。
Can you ~?,~してくれませんか。
What an honor!,なんと光栄なことでしょう。
Thursday,木曜日
awesome,すごい、とてもよい
accept,~を受け入れる
joy,喜び
talk about ~,~について話す
at first,最初は
excited,興奮した、わくわくした、うきうきした
think,(~と)思う、考える
nervous,不安で、緊張して
sunny,晴れた、明るく日の照る
surprised,驚いた
offer,申し入れ、提案
angry,怒った、腹を立てた
