cafe,カフェ、喫茶店
several,いくつかの
Marina area,マリーナ地区
Arab,アラブ人(の)
make a plan,計画を立てる
near there,その近くに[で]
check out ~,~を見てみる、~に注目する
island,島
sightseeing,観光
bay,入り江、湾
check,(~を)確かめる
theater,劇場
~ I guess.,~だと思います。
amazing,びっくりするような、驚くほど見事な
science fiction,科学小説、SF
produce,~を生産する
Supertree,スーパーツリー
solar,太陽の
walkway,歩道、連絡用通路
Here you are.,さあどうぞ。
go up,上がる、登る
show ~ the way,~に道を教える
mug,マグカップ
key chain,キーホルダー
souvenir,記念品、土産物
everyday,毎日の、日々の
expensive,高価な
fiction,小説、フィクション
guidebook,ガイドブック
energy,活力、エネルギー
collect,~を集める
environment,環境
access,通路、交通手段
magnet,磁石、マグネット
use,使うこと、使用、使い道
Kampong Gelam,カンポン・グラム〔シンガポールのイスラム教徒地区〕
mosque,モスク、イスラム教寺院
Sultan Mosque,サルタン・モスク〔シンガポール最古のイスラム教寺院〕
rule,規則、決まり
cover,(~を)覆う
knee,ひざ
hoodie,フード付きトレーナー
clothes,衣服
need to ~,~する必要がある
go in,中に入る
over there,あそこに、あちらに
food court,フードコート
hot spring,温泉
example,例
visitor,観光客、訪問者
shoulder,肩
wear,~を着ている、~を身につけている
borrow,~を借りる
litter,ごみ[くず]を散らかす
for example,例えば
spring,泉
Thanks but I'm OK.,ありがとう、でも結構です。
