safe,安全な、無事な
disaster,災害
evacuation,避難
fire,火事、火災
fire drill,防火訓練、防災訓練
natural,自然の
poster,ポスター
group,集団、グループ
prepared,用意のできた
location,場所、位置
advance,前進
center,センター、中心施設
in advance,前もって、あらかじめ
mustn't,must not の短縮形
typhoon,台風
window,窓
tall,背の高い、(細長く)高い
space,空いた土地、空間
stay away from ~,~から離れている
in a group,グループで、集団の中で
toilet,トイレ
emergency,非常事態
site,用地、場所
drill,訓練
type,タイプ、種類
helpful,役立つ、助けになる
safety,安全、無事
group work,共同作業
must,~しなければならない、すべきである
shelter,避難所、シェルター
community,地域社会、共同体、コミュニティー
include,~を含む
leave,(~を)去る、離れる
lightning,雷の光、稲妻
tree,木
car,自動車
get into ~,~の中へ入る
earthquake,地震
ourselves,私たち自身を[に]
prepare,(~を)用意する、準備する
save,~を救う、~を助ける
drop,体(の一部)を低くする
evacuate,避難する
situation,状況
necessary,必要な
hold on,しがみつく、つかまる
depend on ~,~次第である
if necessary,もし必要であれば
post office,郵便局
list,リスト、一覧表
secure,~を固定する
take care of ~,~の世話をする
protect,~を保護する、守る
occur,起こる、生じる
head,頭、頭部
lives,life の複数形
hold,(~を)しっかり持つ、抱く
depend,~次第である
early,早く
in some cases,場合によっては
keep -ing,~し続ける
post,郵便、郵便物
to-do,やるべきことの
badminton,バドミントン
bookshelf,本棚
case,場合、状況
pamphlet,パンフレット
content,内容物、中身
flashlight,懐中電灯
water,水
dial,~に電話をかける
route,道筋、経路
useful,有用な、役に立つ
remember to ~,忘れずに~する
whistle,笛
coin,硬貨、小銭
first-aid,応急の
toothbrush,歯ブラシ
umbrella,傘
call for ~,~を求める、~を頼む
checklist,チェックリスト、一覧表
again,再び、もう一度
canned,缶づめの
remember,〔remember to ~で〕忘れずに~する
message board,伝言板
schedule,予定(表)、スケジュール
helmet,ヘルメット
glove,手袋
wallet,財布
kit,用具一式、セット
bottle,ボトル、びん
charger,充電器
board,掲示板
Let's see.,ええっと。
