guide,ガイド、案内人
Fred,フレッド〔人物の名(愛称)〕
visually impaired,視覚障がいのある
destination,目的地
step,(階段などの)段
someone,だれか、ある人
attention,注意、関心
assistance,援助、助力
pay attention to ~,~に注意を払う
girlfriend,ガールフレンド
language,言語
travel,旅行する
all over the world,世界中で
guide dog,盲導犬
Coco,ココ〔Fredが連れている犬の名〕
warn,(人)に警告する、注意する
smart,頭のよい、知能の高い、賢明な
pay,(注意など)を払う
might,~かもしれない
pet,(動物)を優しくなでる
website,ウェブサイト
puppy,子犬
spend,(時)を過ごす、~を費やす
social,社会の
training,訓練
retire,引退する
host,~をもてなす
exchange student,交換留学生
pick up ~,~を拾い上げる
learn to ~,~できるようになる
earth,地球
plant,(植物)を植える
pick,~を選ぶ、つむ、つまみ取る
another,別の、他の
future,未来の、将来の、これからの
walker,歩く人
basic,基本の、基礎となる
essential,不可欠の、必要な
test,試験
remaining,残りの
become,~になる
world,世界、地球
make friends,友達を作る
glad,~をうれしく思う
raise,~を育てる、~を養う
according to ~,~によれば
talk to ~,~に相談する
think about ~,~のことをよく考える
exam,試験、テスト
according,〔according to ~で〕~によれば
experience,経験、体験
train,訓練を受ける、トレーニングをする
I think so.,そう思います。
I'll think about it.,考えておきます。
