electricity,電気、電力
happen,起こる、生じる
chart,図表
natural gas,天然ガス
cheap,安い
fossil fuel,化石燃料
carbon dioxide,二酸化炭素
run out of ~,～を使い果たす
energy,エネルギー
radiation,放射能
sunshine,日光
steam,蒸気
renewable,再生可能な
dam,ダム
progress,進歩する
quarter,4分の1
heat,熱
cut,cut の過去分詞
charge,～を充電する
coal,石炭
relatively,比較的
furthermore,そのうえ、さらに
control,～を管理する
handle,～を処理する
wind,風
wave,波
dangerous,危険な
damage,～に損害を与える
Denmark,デンマーク
Iceland,アイスランド
solve,～を解決する
invent,～を発明する
second,秒
rainwater,雨水
sustainable,持続可能な
inventor,発明家
Azerbaijan,アゼルバイジャン
lamp,明かり、ランプ
liter,リットル
battery,電池、バッテリー
consumer,消費者
Reyhan Jamalova,レイハン・ジャマロバ〔人名〕
LED,発光ダイオード
rainy country,雨の多い国
sustainable energy,持続可能なエネルギー
