internet,インターネット
image,像、肖像、印象
leader,指導者、リーダー
born,be born で 生まれる
non-violence,非暴力
Mahatma Gandhi,マハトマ・ガンディー〔人名〕
Indian,インドの
rupee,ルピー〔通貨〕
on the internet,インターネットで
be known for ~,～で知られている
was born on ~,～に生まれた
independence,独立
fight,たたかう
tough,困難な、難しい
human rights,人権
fight for ~,～のためにたたかう
eat little,ほとんど食べない
lawyer,弁護士
discrimination,差別
sidewalk,歩道
law,法律、法
stood,stand の過去形
jail,刑務所
effective,効果的な
at that time,その当時
go out,外出する
even more,またさらに
colony,植民地
tax,税、税金
follower,信奉者、支持者
kilometer,キロメートル
peaceful,平和な
Martin Luther King Jr.,マーティン・ルーサー・キング・ジュニア〔人名〕
Nelson Mandela,ネルソン・マンデラ〔人名〕
in those days,そのころは、当時は
thousands of,何千もの、多くの
way to ~,～する方法
person,人、個人
print,～を印刷する
greatly,おおいに、非常に
national,国の
violence,暴力
protest,抗議する
fast,断食
go on,～をする、始める
British,イギリスの、イギリス人
freely,自由に
accept,～を受け入れる
unfair,不公平な、不当な
arrest,～を逮捕する
non-violent,非暴力の
even if,たとえ～だとしても
produce,～を生産する、生じる
expensive,高価な、費用のかかる
thousand,1000
march,行進、マーチ
legacy,遺産
